Machine,Sub_Machine,.,Task_Description,Task_Code,Estimated_mins,Crew,Period_freq,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,W52
Test tire M/C 4,الكونتاكتور & الريلاي,1,التأكد من الحركة الميكانيكية لريلاي التحكم و تنظيفه بسبراى و تغييره اذا لزم الأمر,3.1,60,1E,13,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,
Test tire M/C 4,الكونتاكتور & الريلاي,2,اعادة تربيط و تثبيت أطراف التوصيل,3.2,60,1E,13,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,
Test tire M/C 4,البانل الرئيسية,3,تنظيف البانل من الداخل باستخدام بلاور,4.1,30,1E,13,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,
Test tire M/C 4,البانل الرئيسية,4,التأكد من سلامة التوصيل لجميع مكونات القوى أو التحكم ( قاطع الدائرة – الريلاي – الروزيتة – الكونتاكتور ),4.2,60,1E,13,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,
Test tire M/C 4,البانل الرئيسية,5,التأكد من سلامة الكابلات من و الى البانل,4.3,20,1E,13,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,
Test tire M/C 4,البانل الرئيسية,6,التأكد من سلامة قاطع الدائرة,4.4,10,1E,13,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,
Test tire M/C 4,بانل ال PLC,7,توصيل و تثبيت المكونات الداخلية لل PLC,5.1,10,1E,13,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,
Test tire M/C 4,بانل ال PLC,8,تنظيف المكونات الداخلية لل PLC من الأتربة باستخدام سبراى مناسب,5.2,10,1E,13,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,
Test tire M/C 4,وحدة تكييف الهواء,9,التأكد من أن وحدة التكييف تعمل بحالة جيدة,6.1,10,1E,13,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,
Test tire M/C 4,السيليكتور سويتش,10,التأكد من سلامة التوصيل الخاص بالسيليكتور سويتش و تغيير التالف منه,12.1,10,1E,13,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,
Test tire M/C 4,السيليكتور سويتش,11,اعادة تثبيت الأسلاك الغير مثبتة جيدا,12.3,20,1E,13,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,
Test tire M/C 4,الروود وييل Road wheel,12,التأكد من سلامة الموتور و من سلامة فرش الشربون,16.0,60,1E,13,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,
Test tire M/C 4,محسات السفتى,13,التأكد من سلامة جميع محسات السفتى Safety Sensors,17.0,60,1E,13,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,
Test tire M/C 4,الليمت سويتش & المحسات,14,ضبط الليمت سويتش و المحسات,11.1,60,1E,13,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,
Test tire M/C 4,الليمت سويتش & المحسات,15,ضبط سويتش الطوارىء,11.2,30,1E,13,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,
Test tire M/C 4,الليمت سويتش & المحسات,16,تنظيف و ضبط المحسات,11.3,60,1E,13,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,
